AEM CN Equity,AQN CN Equity,ATD CN Equity,BMO CN Equity,BNS CN Equity,ABX CN Equity,BCE CN Equity,BAM CN Equity,BN CN Equity,BIP-U CN Equity,CAE CN Equity,CCO CN Equity,CAR-U CN Equity,CM CN Equity,CNR CN Equity,CNQ CN Equity,CP CN Equity,CTC/A CN Equity,CCL/B CN Equity,CVE CN Equity,GIB/A CN Equity,CSU CN Equity,DOL CN Equity,EMA CN Equity,ENB CN Equity,FM CN Equity,FSV CN Equity,FTS CN Equity,FNV CN Equity,WN CN Equity,GIL CN Equity,H CN Equity,IMO CN Equity,IFC CN Equity,K CN Equity,L CN Equity,MG CN Equity,MFC CN Equity,MRU CN Equity,NA CN Equity,NTR CN Equity,OTEX CN Equity,PPL CN Equity,POW CN Equity,QSR CN Equity,RCI/B CN Equity,RY CN Equity,SAP CN Equity,SHOP CN Equity,SLF CN Equity,SU CN Equity,TRP CN Equity,TECK/B CN Equity,T CN Equity,TRI CN Equity,TD CN Equity,TOU CN Equity,WCN CN Equity,WPM CN Equity,WSP CN Equity
78.2,18.85,43.0,76.55,57.9,32.69,57.67,,37.5162,38.5333,23.2,14.06,50.81,46.98,120.88,11.72,69.79,122.11,45.78,6.05,87.75,1462.07,46.59,54.88,43.31,8.86,139.06,52.56,174.59,97.85,21.45,25.81,22.43,132.84,8.49,66.27,59.7,18.63,56.75,61.55,49.29,57.92,35.21,23.76,76.19,57.24,93.0,32.86,117.498,50.12,23.81,54.9593,13.73,23.46,96.2802,61.8,11.92,123.99,53.41,84.61
80.5,18.36,43.76,75.99,57.03,33.64,57.96,,37.7736,38.6067,22.62,14.21,49.82,46.745,118.98,11.665,69.316,119.61,45.91,6.18,86.61,1434.584,46.07,52.97,42.34,9.29,136.41,51.83,178.99,99.25,20.37,25.44,21.89,134.19,8.69,67.15,60.25,18.69,56.71,61.97,48.62,58.04,35.06,23.73,73.75,56.65,92.36,32.4,120.474,49.96,23.5,54.0483,13.64,23.72,95.4918,61.57,12.16,123.08,56.75,83.08
83.11,18.21,42.88,75.2,56.74,34.45,57.32,,37.4518,38.46,22.69,13.68,50.2,46.855,118.9,11.745,68.448,120.29,45.94,6.25,87.62,1460.063,46.1,53.47,41.99,9.56,136.5,51.47,184.9,97.75,21.14,25.33,21.86,132.12,9.2,66.54,59.39,18.54,56.35,62.05,48.18,59.1,34.97,23.91,74.54,56.02,92.1,32.28,122.5,49.88,23.41,54.3489,14.2,23.47,96.3321,61.4,11.95,123.16,57.46,83.6
84.6,18.15,42.12,75.93,56.78,34.81,57.08,,37.0496,38.6867,22.73,13.67,49.47,47.1,118.7,12.07,68.012,120.98,45.27,6.36,85.9,1472.48,45.61,53.44,41.91,10.0,135.41,51.52,184.65,97.44,21.67,25.7,22.27,132.18,9.27,65.21,59.59,18.72,55.17,62.81,47.68,58.41,34.67,24.12,74.57,55.62,92.6,32.74,123.4,50.0,23.84,55.0413,14.48,23.21,95.7097,61.71,12.07,124.05,58.01,82.76
83.85,17.96,42.86,73.95,55.64,35.05,56.52,,35.9795,38.0667,21.73,13.2,48.26,46.32,116.47,11.71,66.924,117.95,44.5,6.22,84.25,1462.07,45.39,52.84,40.99,9.67,135.6,51.04,183.58,97.4,20.82,25.57,21.49,130.13,9.13,66.13,58.8,18.2,55.69,61.98,45.71,57.85,32.66,24.83,74.07,55.28,91.71,32.46,122.097,48.82,22.75,53.52,13.92,22.83,94.3299,60.29,12.03,121.72,56.58,81.85
84.13,17.81,43.2,73.75,56.01,35.11,56.92,,36.8726,37.8467,21.82,13.57,49.04,46.515,118.61,11.805,68.33,118.64,43.95,6.34,86.5,1490.63,45.42,53.31,41.38,10.01,133.92,51.4,186.42,98.71,20.6,25.54,21.44,130.4,9.13,66.63,59.6,18.53,56.27,62.05,45.94,58.92,33.49,24.43,73.37,55.34,93.17,32.81,125.101,49.38,22.8,53.3469,14.22,23.05,95.0354,60.97,12.07,124.55,57.56,82.72
84.09,17.29,42.5,70.74,54.44,35.36,55.8,,35.7703,36.22,21.8,13.52,48.18,45.205,118.18,11.69,67.942,116.39,42.17,6.07,85.36,1487.978,44.58,51.77,40.49,9.89,132.29,50.16,187.62,97.23,19.77,24.91,21.03,127.1,9.43,65.34,58.5,17.85,55.5,60.14,45.1,58.14,32.37,24.03,71.92,54.09,91.2,31.71,124.259,48.38,22.48,52.0624,13.48,22.36,94.5997,59.52,11.76,123.94,57.74,81.21
85.2,17.51,42.46,71.46,55.62,35.8,56.76,,35.883,36.7867,22.27,13.82,48.19,45.065,118.91,11.915,68.432,117.69,43.65,6.37,86.37,1501.059,45.2,53.29,41.45,10.18,135.75,51.24,189.83,100.78,20.62,25.34,21.67,128.06,9.62,67.2,59.97,18.19,56.36,61.0,44.56,58.08,33.41,23.36,75.63,55.22,92.21,32.36,126.304,48.65,23.16,52.2264,13.63,22.68,94.9212,60.32,12.3,125.75,58.02,82.37
86.93,17.55,43.74,72.26,56.18,36.53,56.62,,35.9473,37.2467,22.02,13.92,48.59,45.465,120.11,11.775,69.064,117.64,43.88,6.35,85.53,1494.129,45.16,53.42,41.28,10.82,136.75,51.63,189.65,99.45,21.03,25.53,21.84,129.21,9.8,66.11,60.46,18.47,56.0,61.52,43.62,57.65,33.94,23.88,73.89,54.55,92.11,32.37,128.977,49.89,22.89,52.8367,14.22,22.77,95.6889,60.59,11.87,127.19,59.71,83.26
85.32,17.62,43.32,72.11,56.46,35.66,56.4,,35.7864,37.1933,20.9,13.75,48.7,45.575,120.34,12.03,68.928,119.34,43.71,6.44,86.43,1511.8,45.49,54.43,41.58,10.7,135.05,52.41,185.88,99.42,21.06,25.94,21.59,129.44,9.75,66.59,60.9,18.41,56.0,61.58,44.1,58.36,33.43,23.87,73.49,55.04,92.77,32.28,139.761,49.23,22.74,52.9643,14.14,22.66,95.0976,60.6,12.45,125.29,58.81,83.51
